                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5947,                 2.1984,                 1.6711,                0.66836,                0.44472,                 0.5093,                0.28079,                  1.664,                 1.8851,                 1.8592,             0.00041295,             0.00041295,             0.00041295
                      2,                  1.633,                 1.7576,                 1.6568,                0.47827,                0.38195,                0.39667,                 0.1959,                 1.9248,                 2.0617,                 2.1125,             0.00082551,             0.00082551,             0.00082551
                      3,                 1.6704,                 1.7685,                 1.6812,                0.35786,                0.40493,                0.33508,                0.14538,                 2.0413,                 2.6548,                 2.2185,              0.0012339,              0.0012339,              0.0012339
                      4,                  1.603,                 1.7253,                 1.6467,                0.40972,                0.48237,                0.40785,                0.18738,                 1.9363,                 2.1367,                 2.0831,              0.0012314,              0.0012314,              0.0012314
                      5,                 1.6202,                  1.706,                 1.6693,                0.59882,                0.35759,                0.40774,                0.21264,                 1.8968,                 2.2199,                 2.0483,              0.0012314,              0.0012314,              0.0012314
                      6,                  1.567,                 1.5879,                 1.6208,                 0.6726,                0.47322,                0.56775,                0.31281,                 1.6771,                 1.5851,                 1.8372,              0.0012252,              0.0012252,              0.0012252
                      7,                 1.5508,                 1.5172,                 1.6016,                 0.7184,                0.58248,                0.64144,                0.35155,                 1.6247,                 1.4643,                 1.7785,              0.0012191,              0.0012191,              0.0012191
                      8,                 1.5092,                 1.4626,                 1.5709,                0.65847,                0.62539,                0.64893,                  0.365,                 1.6006,                 1.4407,                 1.7775,              0.0012129,              0.0012129,              0.0012129
                      9,                 1.4835,                 1.3921,                 1.5569,                0.71007,                 0.6297,                0.67777,                0.39074,                 1.5569,                 1.3167,                 1.7391,              0.0012067,              0.0012067,              0.0012067
                     10,                 1.4996,                 1.3815,                 1.5454,                0.70219,                0.67753,                0.69533,                0.39956,                  1.527,                 1.2837,                 1.7182,              0.0012005,              0.0012005,              0.0012005
                     11,                 1.4401,                 1.3269,                 1.5374,                0.77526,                0.63635,                0.69629,                0.40713,                 1.5322,                 1.2201,                 1.7099,              0.0011943,              0.0011943,              0.0011943
                     12,                 1.4495,                  1.325,                 1.5441,                0.68692,                0.60151,                0.67042,                0.39016,                 1.5524,                 1.2929,                 1.7204,              0.0011881,              0.0011881,              0.0011881
                     13,                 1.4175,                 1.2945,                 1.5118,                0.75687,                0.65483,                0.69765,                0.41001,                 1.4887,                 1.2368,                   1.69,              0.0011819,              0.0011819,              0.0011819
                     14,                  1.412,                 1.2803,                 1.4996,                0.74287,                0.67004,                0.71232,                0.42501,                 1.4638,                 1.2106,                 1.6439,              0.0011757,              0.0011757,              0.0011757
                     15,                 1.3831,                  1.243,                 1.4876,                 0.7239,                0.62843,                0.68687,                0.40944,                 1.4916,                 1.2695,                 1.6623,              0.0011696,              0.0011696,              0.0011696
                     16,                 1.3884,                 1.2211,                 1.4873,                0.73475,                 0.6303,                0.70932,                0.41828,                 1.5052,                 1.1885,                 1.6732,              0.0011634,              0.0011634,              0.0011634
                     17,                 1.3429,                 1.1885,                 1.4572,                0.74729,                0.64057,                0.71371,                0.42699,                  1.461,                 1.2266,                 1.6543,              0.0011572,              0.0011572,              0.0011572
                     18,                  1.364,                 1.2219,                   1.48,                0.77333,                0.64021,                0.73708,                0.44097,                  1.457,                 1.1139,                 1.6467,               0.001151,               0.001151,               0.001151
                     19,                 1.3278,                  1.147,                 1.4338,                0.76212,                0.69078,                0.74065,                0.44528,                 1.4316,                 1.0602,                 1.6083,              0.0011448,              0.0011448,              0.0011448
                     20,                 1.3208,                 1.1274,                 1.4337,                0.75017,                0.67141,                0.73532,                0.44094,                 1.4948,                 1.0442,                 1.6634,              0.0011386,              0.0011386,              0.0011386
                     21,                   1.31,                  1.137,                 1.4475,                0.77713,                0.68857,                0.75655,                0.46073,                 1.4351,                 1.0485,                 1.6118,              0.0011324,              0.0011324,              0.0011324
                     22,                 1.2777,                 1.0861,                 1.4115,                0.78335,                0.68963,                0.75611,                0.45512,                 1.4139,                 1.0186,                 1.5979,              0.0011263,              0.0011263,              0.0011263
                     23,                 1.3227,                 1.1092,                 1.4373,                0.77826,                 0.6918,                0.75973,                0.46776,                 1.4075,                0.99829,                 1.5792,              0.0011201,              0.0011201,              0.0011201
                     24,                 1.2885,                 1.0859,                 1.4183,                0.76297,                0.66215,                 0.7301,                0.43607,                 1.4202,                 1.1099,                 1.6128,              0.0011139,              0.0011139,              0.0011139
                     25,                 1.2766,                  1.068,                 1.4069,                0.75741,                0.66444,                0.72404,                0.43739,                 1.3875,                 1.0504,                 1.5886,              0.0011077,              0.0011077,              0.0011077
                     26,                 1.2682,                 1.0688,                 1.4116,                 0.7354,                0.68113,                0.72772,                0.44625,                 1.4298,                 1.1438,                 1.6124,              0.0011015,              0.0011015,              0.0011015
                     27,                 1.2629,                 1.0239,                 1.4022,                0.74736,                0.72008,                0.75801,                0.46963,                 1.3618,                 1.0146,                 1.5591,              0.0010953,              0.0010953,              0.0010953
                     28,                 1.2651,                 1.0289,                 1.4039,                0.80439,                 0.7049,                0.77619,                0.49387,                 1.3515,                0.92906,                 1.5391,              0.0010891,              0.0010891,              0.0010891
                     29,                 1.2341,                0.99659,                 1.3658,                0.83852,                0.64514,                 0.7719,                0.48673,                 1.3598,                0.96459,                 1.5651,              0.0010829,              0.0010829,              0.0010829
                     30,                 1.2454,                 1.0241,                 1.3801,                0.78544,                 0.6732,                0.75746,                0.46635,                 1.3773,                0.96595,                   1.57,              0.0010768,              0.0010768,              0.0010768
                     31,                 1.2224,                0.97563,                 1.3613,                0.74153,                0.72316,                0.75851,                0.48947,                 1.3319,                 0.9501,                 1.5373,              0.0010706,              0.0010706,              0.0010706
                     32,                 1.2327,                0.99597,                 1.3732,                0.78744,                0.71244,                0.76034,                 0.4804,                 1.3421,                0.97416,                 1.5588,              0.0010644,              0.0010644,              0.0010644
