                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.48303,                 2.0591,                 1.5137,                0.14146,                0.22083,                 0.1098,                0.04769,                0.61723,                 13.271,                 2.4557,               0.073688,             0.00082216,             0.00082216
                      2,                0.49879,                 1.7945,                 1.5407,                0.15999,                0.16098,                0.07131,                0.02803,                 0.7368,                 3.7896,                 2.5737,               0.047072,              0.0016455,              0.0016455
                      3,                0.49871,                  1.823,                 1.5455,                0.18591,                0.16463,                0.10932,                0.04252,                0.66356,                 3.1031,                 2.2961,               0.020448,              0.0024607,              0.0024607
                      4,                0.48644,                 1.6778,                 1.5132,                0.30658,                0.24883,                0.20164,                0.08118,                 0.6362,                 2.5886,                 2.0786,              0.0029855,              0.0029855,              0.0029855
                      5,                0.47393,                 1.6189,                 1.4839,                0.48094,                0.34714,                0.36015,                 0.1741,                0.55974,                 2.0701,                 1.9771,              0.0029707,              0.0029707,              0.0029707
                      6,                0.47115,                 1.5738,                 1.4712,                0.50266,                0.42698,                0.41071,                0.19772,                0.54021,                 1.9309,                 1.8414,              0.0029559,              0.0029559,              0.0029559
                      7,                0.45766,                 1.4438,                  1.427,                0.54406,                0.51118,                0.49669,                0.25175,                0.49608,                 1.6213,                 1.6693,              0.0029411,              0.0029411,              0.0029411
                      8,                0.44372,                 1.3859,                 1.3946,                 0.5779,                0.50964,                0.53611,                0.26286,                0.51675,                 1.6394,                 1.7793,              0.0029263,              0.0029263,              0.0029263
                      9,                0.43892,                 1.3435,                 1.3923,                0.66285,                0.49036,                0.54524,                0.28289,                0.48843,                 1.4816,                 1.6909,              0.0029115,              0.0029115,              0.0029115
                     10,                0.42923,                 1.3063,                 1.3808,                0.62103,                0.56851,                  0.601,                0.31739,                0.46902,                 1.4265,                 1.6335,              0.0028966,              0.0028966,              0.0028966
                     11,                0.42997,                 1.2543,                 1.3681,                0.72024,                0.54166,                0.62889,                0.34665,                0.45391,                 1.2637,                 1.5925,              0.0028818,              0.0028818,              0.0028818
                     12,                0.42465,                 1.2518,                 1.3683,                0.73314,                 0.5431,                0.63843,                0.35037,                0.46507,                 1.2876,                 1.6032,               0.002867,               0.002867,               0.002867
                     13,                0.41731,                 1.2123,                 1.3514,                0.69702,                0.63419,                0.66505,                0.38154,                 0.4314,                 1.1766,                 1.4992,              0.0028522,              0.0028522,              0.0028522
                     14,                 0.4178,                 1.2105,                 1.3466,                0.59548,                0.51774,                0.55745,                0.29851,                0.48955,                 1.5126,                 1.6602,              0.0028374,              0.0028374,              0.0028374
                     15,                0.40978,                 1.1703,                 1.3271,                0.71778,                0.61321,                0.67959,                0.38285,                0.43553,                  1.154,                 1.5233,              0.0028225,              0.0028225,              0.0028225
                     16,                 0.4064,                  1.156,                 1.3221,                0.61713,                0.61482,                0.63801,                0.34466,                0.44864,                 1.2259,                 1.5363,              0.0028077,              0.0028077,              0.0028077
                     17,                0.40181,                 1.1268,                 1.3103,                0.74584,                0.56895,                0.65172,                0.36605,                0.44431,                 1.2045,                 1.5255,              0.0027929,              0.0027929,              0.0027929
                     18,                0.40336,                 1.1256,                 1.3035,                0.66404,                 0.4883,                 0.5444,                0.29014,                 0.4982,                 1.4761,                 1.6879,              0.0027781,              0.0027781,              0.0027781
                     19,                0.39407,                 1.1066,                  1.294,                0.69844,                0.62068,                0.67282,                0.37542,                0.43813,                 1.1668,                 1.5207,              0.0027633,              0.0027633,              0.0027633
