fitness ,lr0     ,lrf     ,momentum ,weight_decay ,warmup_epochs ,warmup_momentum ,box     ,cls     ,dfl     ,hsv_h   ,hsv_s   ,hsv_v   ,degrees ,translate ,scale   ,shear ,perspective ,flipud ,fliplr  ,mosaic  ,mixup ,copy_paste
0.50391 ,0.01    ,0.01    , 0.937   ,     0.0005  ,      3.0     ,        0.8     ,7.5     ,0.5     ,1.5     ,0.015   ,0.7     ,0.4     ,    0.0 ,  0.1     ,0.5     ,  0.0 ,        0.0 ,   0.0 ,0.5     ,1.0     ,  0.0 ,       0.0
0.4744  ,0.01    ,0.00879 , 0.937   ,     0.0005  ,      3.0     ,        0.88162 ,7.23495 ,0.38652 ,1.5     ,0.01276 ,0.63817 ,0.34748 ,    0.0 ,  0.10776 ,0.62868 ,  0.0 ,        0.0 ,   0.0 ,0.54262 ,0.86751 ,  0.0 ,       0.0
0.49373 ,0.01018 ,0.01    , 0.9337  ,     0.00051 ,      2.96645 ,        0.82397 ,7.5     ,0.49611 ,1.5     ,0.01479 ,0.69095 ,0.40435 ,    0.0 ,  0.10139 ,0.47604 ,  0.0 ,        0.0 ,   0.0 ,0.49049 ,0.99637 ,  0.0 ,       0.0
0.51363 ,0.00827 ,0.00986 , 0.89036 ,     0.00063 ,      3.07006 ,        0.74034 ,5.12726 ,0.51761 ,1.89644 ,0.0138  ,0.48023 ,0.39196 ,    0.0 ,  0.1     ,0.5     ,  0.0 ,        0.0 ,   0.0 ,0.57026 ,1.0     ,  0.0 ,       0.0
0.49669 ,0.00977 ,0.00993 , 0.9233  ,     0.00048 ,      3.54389 ,        0.8     ,7.5     ,0.5     ,1.28659 ,0.01598 ,0.64839 ,0.38653 ,    0.0 ,  0.1008  ,0.54413 ,  0.0 ,        0.0 ,   0.0 ,0.47515 ,1.0     ,  0.0 ,       0.0
0.51727 ,0.00743 ,0.01005 , 0.89036 ,     0.00064 ,      3.00177 ,        0.55345 ,5.54453 ,0.52501 ,2.08282 ,0.01191 ,0.41475 ,0.36421 ,    0.0 ,  0.09324 ,0.51814 ,  0.0 ,        0.0 ,   0.0 ,0.66606 ,1.0     ,  0.0 ,       0.0
0.50611 ,0.01    ,0.00757 , 0.937   ,     0.0005  ,      4.01337 ,        0.8     ,8.77805 ,0.58758 ,1.44288 ,0.01627 ,0.59343 ,0.38248 ,    0.0 ,  0.09375 ,0.439   ,  0.0 ,        0.0 ,   0.0 ,0.5     ,1.0     ,  0.0 ,       0.0
0.49273 ,0.01    ,0.00926 , 0.93005 ,     0.0005  ,      2.98633 ,        0.76327 ,7.66759 ,0.4721  ,1.5     ,0.01517 ,0.7     ,0.3743  ,    0.0 ,  0.1     ,0.47436 ,  0.0 ,        0.0 ,   0.0 ,0.5     ,0.94738 ,  0.0 ,       0.0
0.51477 ,0.00752 ,0.00971 , 0.86608 ,     0.00064 ,      3.41906 ,        0.69604 ,6.406   ,0.51761 ,1.89644 ,0.0138  ,0.37335 ,0.42739 ,    0.0 ,  0.11695 ,0.49589 ,  0.0 ,        0.0 ,   0.0 ,0.55537 ,1.0     ,  0.0 ,       0.0
0.51498 ,0.00872 ,0.00986 , 0.85286 ,     0.00063 ,      3.36547 ,        0.71626 ,3.9476  ,0.52654 ,1.98557 ,0.0138  ,0.48023 ,0.29167 ,    0.0 ,  0.07659 ,0.5     ,  0.0 ,        0.0 ,   0.0 ,0.62976 ,1.0     ,  0.0 ,       0.0
0.50931 ,0.00772 ,0.01169 , 0.90466 ,     0.00062 ,      2.44948 ,        0.86552 ,5.24235 ,0.51754 ,2.49236 ,0.01469 ,0.48023 ,0.32955 ,    0.0 ,  0.1     ,0.43486 ,  0.0 ,        0.0 ,   0.0 ,0.63821 ,1.0     ,  0.0 ,       0.0
0.51794 ,0.00869 ,0.01074 , 0.9689  ,     0.00062 ,      3.1353  ,        0.55345 ,5.50005 ,0.43575 ,2.01116 ,0.01191 ,0.37304 ,0.34228 ,    0.0 ,  0.12989 ,0.46594 ,  0.0 ,        0.0 ,   0.0 ,0.51765 ,0.98255 ,  0.0 ,       0.0
0.5259  ,0.00674 ,0.01304 , 0.85679 ,     0.00066 ,      2.75306 ,        0.64728 ,4.60941 ,0.55631 ,1.62812 ,0.01331 ,0.44428 ,0.28523 ,    0.0 ,  0.07489 ,0.47189 ,  0.0 ,        0.0 ,   0.0 ,0.52433 ,1.0     ,  0.0 ,       0.0
0.52843 ,0.00763 ,0.01535 , 0.83996 ,     0.00064 ,      2.77233 ,        0.51221 ,4.60941 ,0.56159 ,1.68625 ,0.01331 ,0.49614 ,0.27906 ,    0.0 ,  0.07489 ,0.46867 ,  0.0 ,        0.0 ,   0.0 ,0.52433 ,0.92723 ,  0.0 ,       0.0
0.53978 ,0.0067  ,0.01673 , 0.83996 ,     0.00064 ,      3.43978 ,        0.51221 ,4.61933 ,0.52572 ,1.32952 ,0.01331 ,0.50518 ,0.21405 ,    0.0 ,  0.07828 ,0.46267 ,  0.0 ,        0.0 ,   0.0 ,0.49589 ,0.92723 ,  0.0 ,       0.0
0.53428 ,0.0067  ,0.01698 , 0.82664 ,     0.00071 ,      3.51877 ,        0.56348 ,3.89343 ,0.53213 ,1.32952 ,0.01411 ,0.54128 ,0.20905 ,    0.0 ,  0.07915 ,0.52506 ,  0.0 ,        0.0 ,   0.0 ,0.49589 ,0.98341 ,  0.0 ,       0.0
