                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0969,                 3.0523,                 2.1089,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.070333,              0.0032963,              0.0032963
                      2,                 2.1432,                 2.7781,                 2.1709,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.040115,              0.0064109,              0.0064109
                      3,                 2.0464,                 2.5974,                 2.0917,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0096758,              0.0093054,              0.0093054
                      4,                 1.9898,                 2.5286,                 2.0448,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00901,                0.00901,                0.00901
                      5,                 1.9214,                 2.3542,                 1.9767,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00901,                0.00901,                0.00901
                      6,                  1.858,                 2.2018,                 1.9188,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00868,                0.00868,                0.00868
                      7,                 1.8324,                 2.1247,                 1.8832,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00835,                0.00835,                0.00835
                      8,                 1.7706,                 2.0187,                 1.8318,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00802,                0.00802,                0.00802
                      9,                 1.7499,                 2.0079,                 1.8402,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00769,                0.00769,                0.00769
                     10,                 1.7365,                 1.9376,                 1.8004,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00736,                0.00736,                0.00736
                     11,                 1.6832,                 1.8608,                 1.7593,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00703,                0.00703,                0.00703
                     12,                 1.6926,                 1.8382,                  1.752,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.0067,                 0.0067,                 0.0067
                     13,                 1.6445,                 1.7768,                 1.7284,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00637,                0.00637,                0.00637
                     14,                 1.6278,                 1.7473,                 1.7276,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00604,                0.00604,                0.00604
                     15,                  1.595,                 1.6739,                 1.6997,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00571,                0.00571,                0.00571
                     16,                  1.577,                 1.6281,                 1.6728,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00538,                0.00538,                0.00538
                     17,                 1.5592,                 1.5932,                 1.6659,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00505,                0.00505,                0.00505
                     18,                 1.5407,                 1.5667,                 1.6447,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00472,                0.00472,                0.00472
                     19,                  1.504,                 1.5136,                 1.6208,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00439,                0.00439,                0.00439
                     20,                 1.5023,                 1.4792,                 1.6199,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00406,                0.00406,                0.00406
                     21,                 1.4928,                 1.3978,                 1.7037,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00373,                0.00373,                0.00373
                     22,                  1.481,                 1.3259,                 1.7026,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.0034,                 0.0034,                 0.0034
                     23,                 1.4272,                 1.2807,                 1.6621,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00307,                0.00307,                0.00307
                     24,                 1.4122,                 1.2343,                  1.616,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00274,                0.00274,                0.00274
                     25,                 1.4117,                 1.2093,                 1.6365,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00241,                0.00241,                0.00241
                     26,                 1.3603,                 1.1402,                 1.5996,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00208,                0.00208,                0.00208
                     27,                 1.3424,                 1.1194,                 1.5841,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00175,                0.00175,                0.00175
                     28,                   1.33,                 1.0923,                 1.5618,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00142,                0.00142,                0.00142
                     29,                  1.294,                 1.0357,                 1.5291,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00109,                0.00109,                0.00109
                     30,                 1.2755,                 1.0023,                 1.5203,                0.75754,                 0.6926,                0.75765,                0.47572,                 1.3505,                 1.0463,                 1.6118,                0.00076,                0.00076,                0.00076
