                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0996,                 2.4379,                 2.1666,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.070333,              0.0032963,              0.0032963
                      2,                  2.131,                 2.2271,                 2.1953,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.040114,              0.0064106,              0.0064106
                      3,                 2.0238,                 2.1254,                 2.1236,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009675,              0.0093046,              0.0093046
                      4,                 1.9638,                 2.0006,                 2.0417,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0090088,              0.0090088,              0.0090088
                      5,                 1.9191,                 1.8788,                 1.9858,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0090088,              0.0090088,              0.0090088
                      6,                 1.9101,                 1.8531,                 1.9522,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0086784,              0.0086784,              0.0086784
                      7,                 1.8425,                 1.7572,                 1.9286,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008348,               0.008348,               0.008348
                      8,                 1.8099,                 1.6975,                 1.8888,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0080176,              0.0080176,              0.0080176
                      9,                 1.7343,                 1.6058,                 1.8197,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0076872,              0.0076872,              0.0076872
                     10,                 1.7231,                 1.5992,                 1.8085,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0073568,              0.0073568,              0.0073568
                     11,                 1.7083,                 1.5492,                 1.7906,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0070264,              0.0070264,              0.0070264
                     12,                 1.6668,                 1.4996,                 1.7679,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.006696,               0.006696,               0.006696
                     13,                 1.6491,                 1.4706,                 1.7484,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0063656,              0.0063656,              0.0063656
                     14,                 1.6513,                 1.4298,                 1.7425,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0060352,              0.0060352,              0.0060352
                     15,                  1.606,                 1.3921,                 1.7129,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0057048,              0.0057048,              0.0057048
                     16,                 1.5737,                 1.3609,                 1.6842,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0053744,              0.0053744,              0.0053744
                     17,                 1.5731,                 1.3182,                  1.676,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.005044,               0.005044,               0.005044
                     18,                  1.551,                 1.2898,                  1.668,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0047135,              0.0047135,              0.0047135
                     19,                 1.5188,                 1.2449,                 1.6445,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0043831,              0.0043831,              0.0043831
                     20,                 1.4976,                 1.2118,                 1.6302,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0040527,              0.0040527,              0.0040527
                     21,                 1.5197,                 1.1818,                 1.7568,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0037223,              0.0037223,              0.0037223
                     22,                 1.4988,                 1.1392,                 1.7413,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0033919,              0.0033919,              0.0033919
                     23,                 1.4357,                 1.0914,                 1.6975,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0030615,              0.0030615,              0.0030615
                     24,                 1.4153,                   1.04,                 1.6543,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0027311,              0.0027311,              0.0027311
                     25,                 1.4143,                 1.0326,                 1.6565,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0024007,              0.0024007,              0.0024007
                     26,                 1.3762,                0.98662,                 1.6466,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0020703,              0.0020703,              0.0020703
                     27,                 1.3441,                 0.9576,                 1.6079,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0017399,              0.0017399,              0.0017399
                     28,                 1.3293,                0.92493,                 1.5929,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0014095,              0.0014095,              0.0014095
                     29,                 1.2982,                0.89367,                  1.573,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0010791,              0.0010791,              0.0010791
                     30,                 1.2947,                0.88474,                 1.5628,                0.76807,                0.67498,                 0.7327,                0.44571,                 1.3694,                0.89271,                 1.6756,             0.00074871,             0.00074871,             0.00074871
