                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5801,                 2.7367,                 1.6747,                0.61684,                0.28908,                0.36773,                0.17583,                 1.7846,                 2.9952,                 1.9398,             0.00041295,             0.00041295,             0.00041295
                      2,                 1.6033,                 2.0897,                 1.6574,                0.54664,                0.40263,                0.43235,                0.20465,                 1.8476,                 2.4009,                 2.0598,             0.00081319,             0.00081319,             0.00081319
                      3,                 1.6116,                  1.956,                 1.6532,                0.45036,                0.40738,                0.38063,                0.18694,                 1.8644,                 3.3662,                 2.0784,              0.0011969,              0.0011969,              0.0011969
                      4,                 1.5908,                 1.8712,                 1.6363,                0.56749,                0.38523,                0.40371,                0.18959,                 1.9433,                 2.6037,                 2.1274,              0.0011757,              0.0011757,              0.0011757
                      5,                 1.5859,                 1.7866,                 1.6462,                0.55029,                0.45685,                0.47524,                0.24177,                 1.7839,                 2.0536,                  1.983,              0.0011757,              0.0011757,              0.0011757
                      6,                  1.521,                 1.6528,                 1.5888,                0.68203,                0.52166,                0.56499,                0.31097,                 1.6687,                 1.7667,                 1.8743,               0.001151,               0.001151,               0.001151
                      7,                 1.5098,                 1.5791,                 1.5832,                 0.7503,                0.54019,                 0.6346,                0.33455,                 1.6825,                 1.6261,                 1.8645,              0.0011263,              0.0011263,              0.0011263
                      8,                 1.4905,                 1.5159,                 1.5616,                0.72705,                0.57445,                0.63999,                0.35511,                 1.5504,                 1.4708,                 1.7321,              0.0011015,              0.0011015,              0.0011015
                      9,                 1.4522,                 1.4567,                 1.5342,                0.69871,                0.61409,                0.66299,                0.37916,                  1.551,                 1.4954,                 1.7424,              0.0010768,              0.0010768,              0.0010768
                     10,                 1.4657,                 1.4278,                 1.5271,                0.68039,                0.64892,                0.66309,                0.36154,                 1.5839,                  1.402,                 1.7672,               0.001052,               0.001052,               0.001052
                     11,                 1.4316,                  1.386,                 1.5217,                0.71388,                0.61387,                0.67595,                0.39474,                 1.5167,                 1.3604,                 1.6659,              0.0010273,              0.0010273,              0.0010273
                     12,                 1.4182,                 1.3476,                 1.5141,                0.67684,                0.64557,                0.67348,                0.38719,                 1.5086,                 1.3384,                 1.6981,              0.0010025,              0.0010025,              0.0010025
                     13,                 1.4095,                 1.3403,                 1.5034,                0.72978,                0.63622,                0.67067,                0.38169,                 1.5072,                 1.2641,                 1.6759,             0.00097775,             0.00097775,             0.00097775
                     14,                 1.4056,                 1.3126,                 1.4958,                0.70411,                0.60648,                0.68222,                0.39748,                 1.4925,                 1.3278,                   1.67,               0.000953,               0.000953,               0.000953
                     15,                   1.37,                 1.2799,                 1.4809,                 0.7685,                0.67974,                0.73282,                0.42793,                 1.4693,                  1.161,                 1.6638,             0.00092825,             0.00092825,             0.00092825
                     16,                 1.3624,                 1.2421,                 1.4614,                0.77178,                0.65876,                0.72733,                0.43802,                 1.4449,                 1.1553,                 1.6303,              0.0009035,              0.0009035,              0.0009035
                     17,                 1.3228,                 1.2167,                 1.4406,                0.78484,                0.63092,                 0.7173,                0.41996,                 1.4854,                 1.1834,                 1.6681,             0.00087875,             0.00087875,             0.00087875
                     18,                 1.3499,                 1.2325,                 1.4645,                0.78008,                0.67452,                0.72588,                0.43583,                 1.4414,                 1.1504,                 1.6364,               0.000854,               0.000854,               0.000854
                     19,                 1.3147,                 1.1686,                 1.4297,                0.80894,                0.68997,                0.76102,                0.46178,                  1.431,                 1.0734,                 1.5971,             0.00082925,             0.00082925,             0.00082925
                     20,                 1.3068,                  1.154,                 1.4192,                0.77432,                0.67772,                0.74808,                0.46182,                 1.3795,                 1.0669,                 1.5905,              0.0008045,              0.0008045,              0.0008045
                     21,                 1.2891,                 1.1378,                 1.4195,                0.79644,                0.68875,                0.75676,                 0.4679,                 1.3914,                 1.0641,                  1.577,             0.00077975,             0.00077975,             0.00077975
                     22,                 1.2747,                 1.1099,                 1.4035,                0.81904,                0.66179,                0.76494,                 0.4776,                 1.3661,                 1.0292,                 1.5528,               0.000755,               0.000755,               0.000755
                     23,                 1.2908,                 1.1145,                 1.4076,                0.81988,                0.69543,                0.77103,                0.48015,                  1.378,                0.98154,                 1.5518,             0.00073025,             0.00073025,             0.00073025
                     24,                 1.2686,                 1.0998,                    1.4,                0.77292,                0.68252,                 0.7454,                0.47597,                 1.3505,                0.99145,                  1.559,              0.0007055,              0.0007055,              0.0007055
                     25,                 1.2635,                 1.0855,                 1.3938,                0.82545,                0.69018,                 0.7832,                0.48672,                 1.3654,                0.96884,                 1.5504,             0.00068075,             0.00068075,             0.00068075
                     26,                 1.2521,                 1.0793,                 1.3928,                0.79602,                 0.7017,                0.77184,                0.48455,                 1.3711,                0.98882,                 1.5661,               0.000656,               0.000656,               0.000656
                     27,                 1.2426,                 1.0429,                 1.3809,                0.81342,                0.66983,                0.76333,                0.47348,                 1.3548,                 1.0218,                 1.5624,             0.00063125,             0.00063125,             0.00063125
                     28,                 1.2183,                 1.0245,                 1.3728,                 0.8215,                0.70672,                0.78374,                0.49284,                  1.343,                0.94616,                 1.5252,              0.0006065,              0.0006065,              0.0006065
                     29,                 1.2182,                 1.0116,                 1.3502,                0.82312,                0.73394,                0.80108,                0.49863,                 1.3716,                0.92317,                 1.5663,             0.00058175,             0.00058175,             0.00058175
                     30,                 1.2253,                  1.009,                 1.3606,                0.75216,                0.70851,                0.75582,                0.47736,                 1.3692,                0.97495,                 1.5659,               0.000557,               0.000557,               0.000557
                     31,                 1.1956,                0.98618,                 1.3416,                0.81894,                0.72971,                0.77859,                0.49601,                  1.334,                 0.9376,                 1.5325,             0.00053225,             0.00053225,             0.00053225
                     32,                 1.2025,                0.99391,                 1.3526,                0.80511,                0.70857,                0.79159,                0.50579,                  1.314,                 0.9199,                  1.495,              0.0005075,              0.0005075,              0.0005075
                     33,                  1.176,                0.95628,                 1.3461,                 0.7883,                0.73761,                0.78593,                0.50459,                 1.3172,                0.88497,                 1.5091,             0.00048275,             0.00048275,             0.00048275
                     34,                 1.1924,                0.97694,                 1.3451,                0.83008,                0.72144,                0.79764,                0.51006,                 1.3094,                0.90173,                 1.5034,               0.000458,               0.000458,               0.000458
                     35,                  1.179,                0.94366,                 1.3288,                0.79291,                0.74617,                0.79752,                0.51479,                 1.2957,                0.86471,                 1.4928,             0.00043325,             0.00043325,             0.00043325
                     36,                 1.1582,                0.92726,                  1.323,                0.80519,                0.75568,                0.80279,                0.52173,                 1.2847,                 0.8739,                  1.482,              0.0004085,              0.0004085,              0.0004085
                     37,                 1.1682,                0.92819,                 1.3295,                0.78724,                0.73839,                0.78183,                0.51456,                 1.3196,                0.88946,                 1.5164,             0.00038375,             0.00038375,             0.00038375
                     38,                 1.1721,                0.93043,                 1.3257,                0.81868,                0.77556,                0.81445,                0.51518,                 1.3012,                0.85578,                  1.479,               0.000359,               0.000359,               0.000359
                     39,                 1.1433,                0.89787,                 1.3017,                0.80466,                0.75052,                0.79983,                0.52099,                 1.2884,                0.83601,                 1.4894,             0.00033425,             0.00033425,             0.00033425
                     40,                 1.1373,                 0.9103,                 1.3133,                0.79054,                0.76152,                0.80163,                0.51947,                 1.2721,                0.84454,                 1.4717,              0.0003095,              0.0003095,              0.0003095
                     41,                 1.0726,                0.76703,                 1.2905,                0.80065,                0.73847,                0.79271,                0.51303,                 1.2805,                0.84474,                 1.4944,             0.00028475,             0.00028475,             0.00028475
                     42,                 1.0481,                0.72327,                 1.2726,                0.82223,                0.74922,                0.80487,                0.52515,                 1.2597,                0.81412,                 1.4772,                0.00026,                0.00026,                0.00026
                     43,                 1.0407,                  0.715,                 1.2704,                0.79984,                0.75766,                 0.8028,                0.53021,                 1.2673,                0.81696,                 1.4813,             0.00023525,             0.00023525,             0.00023525
                     44,                 1.0216,                0.69531,                 1.2602,                0.81768,                0.76287,                0.80569,                0.52656,                   1.27,                0.80518,                 1.4813,              0.0002105,              0.0002105,              0.0002105
                     45,                   1.02,                0.68624,                 1.2541,                0.83499,                 0.7619,                0.82001,                0.53732,                  1.254,                0.78783,                 1.4592,             0.00018575,             0.00018575,             0.00018575
                     46,                 1.0035,                0.66732,                 1.2373,                0.84503,                0.74338,                0.81596,                0.53637,                 1.2504,                0.78293,                 1.4623,               0.000161,               0.000161,               0.000161
                     47,                0.99293,                0.66538,                  1.228,                0.79561,                0.76934,                0.81093,                0.53987,                 1.2515,                0.79105,                 1.4788,             0.00013625,             0.00013625,             0.00013625
                     48,                0.98858,                0.65931,                 1.2357,                  0.809,                0.76772,                0.81306,                0.54053,                 1.2468,                 0.7769,                 1.4612,              0.0001115,              0.0001115,              0.0001115
                     49,                0.97463,                0.64143,                 1.2248,                0.81591,                0.77817,                 0.8175,                0.54501,                 1.2434,                0.76172,                 1.4696,              8.675e-05,              8.675e-05,              8.675e-05
                     50,                0.96825,                0.63238,                 1.2145,                0.81966,                0.76165,                0.81518,                0.54369,                 1.2393,                0.76074,                 1.4637,                6.2e-05,                6.2e-05,                6.2e-05
