                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5947,                 2.1984,                 1.6711,                0.66836,                0.44472,                 0.5093,                0.28079,                  1.664,                 1.8851,                 1.8592,             0.00041295,             0.00041295,             0.00041295
                      2,                 1.6249,                 1.7552,                 1.6477,                 0.4602,                0.34215,                0.32548,                0.14287,                 2.1402,                 2.2061,                 2.2951,             0.00081319,             0.00081319,             0.00081319
                      3,                  1.652,                 1.7705,                 1.6845,                0.49422,                0.48078,                0.43066,                0.20267,                 1.8241,                 2.0916,                 2.0193,              0.0011969,              0.0011969,              0.0011969
                      4,                 1.6214,                  1.712,                 1.6584,                0.54691,                0.40269,                0.43555,                0.21325,                 1.9292,                 2.1878,                  2.092,              0.0011757,              0.0011757,              0.0011757
                      5,                 1.6218,                 1.6876,                 1.6692,                0.57696,                0.51226,                0.52801,                0.26608,                 1.7885,                 1.8245,                 1.9378,              0.0011757,              0.0011757,              0.0011757
                      6,                 1.5494,                 1.5503,                 1.6072,                 0.6727,                0.58565,                0.59764,                0.32072,                 1.7014,                 1.5145,                  1.896,               0.001151,               0.001151,               0.001151
                      7,                 1.5321,                 1.4818,                 1.5872,                0.64382,                0.53019,                0.59518,                0.32095,                 1.6394,                 1.6158,                 1.8175,              0.0011263,              0.0011263,              0.0011263
                      8,                 1.4992,                 1.4216,                 1.5539,                0.63663,                 0.6081,                0.61777,                0.35191,                 1.5622,                 1.5178,                 1.7626,              0.0011015,              0.0011015,              0.0011015
                      9,                 1.4622,                 1.3869,                 1.5442,                0.73397,                0.61285,                0.69354,                0.39482,                 1.5901,                  1.257,                 1.7513,              0.0010768,              0.0010768,              0.0010768
                     10,                 1.4782,                 1.3491,                 1.5431,                0.67827,                0.63264,                0.65248,                0.37838,                 1.5415,                 1.4452,                 1.7372,               0.001052,               0.001052,               0.001052
                     11,                 1.4246,                 1.2931,                 1.5288,                0.75952,                 0.6257,                0.71146,                0.42575,                 1.5003,                 1.1538,                 1.6738,              0.0010273,              0.0010273,              0.0010273
                     12,                 1.4273,                 1.2803,                 1.5243,                 0.7327,                0.65615,                 0.7197,                0.42889,                 1.4752,                 1.1583,                 1.6456,              0.0010025,              0.0010025,              0.0010025
                     13,                 1.3928,                 1.2409,                 1.4963,                0.71359,                0.65665,                0.70178,                0.41543,                 1.4885,                 1.1795,                 1.6834,             0.00097775,             0.00097775,             0.00097775
                     14,                 1.3812,                 1.2123,                  1.483,                0.74752,                0.66539,                0.71115,                0.42834,                 1.4592,                 1.1333,                 1.6571,               0.000953,               0.000953,               0.000953
                     15,                 1.3511,                  1.194,                 1.4641,                0.72399,                0.61031,                0.66998,                0.38479,                 1.5359,                 1.2496,                 1.6837,             0.00092825,             0.00092825,             0.00092825
                     16,                 1.3453,                  1.165,                 1.4576,                0.79861,                0.63721,                0.72644,                0.44063,                 1.4302,                 1.1132,                 1.6235,              0.0009035,              0.0009035,              0.0009035
                     17,                 1.2913,                 1.1114,                 1.4239,                0.71902,                0.67195,                0.73084,                0.43569,                 1.4616,                 1.0821,                 1.6596,             0.00087875,             0.00087875,             0.00087875
                     18,                 1.3187,                 1.1327,                 1.4411,                0.78125,                0.66977,                0.74898,                0.45558,                 1.4142,                 1.0372,                  1.607,               0.000854,               0.000854,               0.000854
                     19,                 1.2829,                 1.0729,                 1.4075,                 0.8082,                0.67316,                0.76754,                0.48077,                 1.3848,                0.97156,                 1.5833,             0.00082925,             0.00082925,             0.00082925
                     20,                 1.2928,                 1.0615,                 1.4105,                0.74631,                0.71436,                0.75155,                0.46074,                 1.4198,                0.98055,                 1.5958,              0.0008045,              0.0008045,              0.0008045
                     21,                 1.2615,                 1.0552,                 1.4099,                0.79732,                0.71452,                0.77115,                0.48652,                 1.3448,                0.94532,                 1.5615,             0.00077975,             0.00077975,             0.00077975
                     22,                  1.237,                 1.0001,                 1.3858,                0.77942,                0.72063,                0.78581,                0.48775,                  1.346,                0.94305,                 1.5378,               0.000755,               0.000755,               0.000755
                     23,                  1.253,                 1.0139,                 1.3863,                0.79838,                0.72477,                0.78448,                0.49044,                 1.3419,                0.90883,                  1.526,             0.00073025,             0.00073025,             0.00073025
                     24,                 1.2243,                0.99696,                 1.3781,                0.80231,                0.72291,                0.80117,                0.49968,                  1.318,                0.87935,                 1.5328,              0.0007055,              0.0007055,              0.0007055
                     25,                 1.2084,                 0.9738,                 1.3671,                0.79559,                0.72417,                0.78239,                0.49959,                 1.3145,                0.89181,                 1.5119,             0.00068075,             0.00068075,             0.00068075
                     26,                  1.213,                0.97417,                 1.3693,                0.83827,                0.71041,                0.80237,                0.51779,                 1.2907,                0.87038,                 1.4961,               0.000656,               0.000656,               0.000656
                     27,                 1.1933,                0.93475,                 1.3528,                0.73107,                0.73882,                0.77595,                0.49304,                 1.3318,                0.91023,                 1.5335,             0.00063125,             0.00063125,             0.00063125
                     28,                 1.1832,                0.92481,                 1.3525,                0.73446,                0.77602,                0.78236,                0.49726,                 1.3093,                0.87581,                 1.4981,              0.0006065,              0.0006065,              0.0006065
                     29,                 1.1614,                0.90417,                 1.3194,                0.80077,                 0.7247,                0.79948,                0.51074,                 1.2759,                0.85742,                 1.4735,             0.00058175,             0.00058175,             0.00058175
                     30,                 1.1625,                0.90089,                 1.3263,                0.82348,                0.69076,                0.77677,                0.48506,                 1.3392,                0.87732,                 1.5388,               0.000557,               0.000557,               0.000557
                     31,                 1.1429,                0.87655,                 1.3133,                 0.8364,                0.69695,                0.79772,                0.51418,                 1.2903,                0.83935,                 1.4947,             0.00053225,             0.00053225,             0.00053225
                     32,                 1.1378,                0.87479,                 1.3112,                0.80371,                 0.7248,                0.80301,                0.51246,                 1.2732,                0.84195,                 1.4739,              0.0005075,              0.0005075,              0.0005075
                     33,                 1.1105,                  0.854,                 1.2981,                0.84726,                0.71967,                 0.8131,                 0.5287,                 1.2665,                0.80721,                 1.4787,             0.00048275,             0.00048275,             0.00048275
                     34,                 1.1425,                0.87455,                 1.3148,                0.81771,                 0.7358,                0.81056,                0.52253,                 1.2719,                0.82362,                 1.4801,               0.000458,               0.000458,               0.000458
                     35,                 1.1219,                0.83842,                 1.2972,                0.82686,                0.74097,                0.81707,                0.53654,                 1.2696,                0.78003,                 1.4777,             0.00043325,             0.00043325,             0.00043325
                     36,                  1.092,                0.80812,                 1.2861,                0.82023,                0.73245,                0.81453,                0.53027,                 1.2728,                0.77862,                  1.466,              0.0004085,              0.0004085,              0.0004085
                     37,                 1.0943,                0.81926,                 1.2857,                0.83015,                0.73914,                0.81027,                0.53726,                 1.2715,                0.77141,                 1.4823,             0.00038375,             0.00038375,             0.00038375
                     38,                 1.1052,                0.81918,                 1.2839,                 0.8166,                0.74725,                0.82549,                0.53556,                 1.2508,                0.76313,                 1.4614,               0.000359,               0.000359,               0.000359
                     39,                 1.0814,                 0.7862,                  1.266,                0.82425,                0.75206,                0.81032,                0.53036,                 1.2538,                0.77279,                 1.4762,             0.00033425,             0.00033425,             0.00033425
                     40,                 1.0714,                0.79116,                 1.2727,                0.86062,                 0.7412,                0.82586,                 0.5387,                 1.2419,                0.76295,                 1.4608,              0.0003095,              0.0003095,              0.0003095
                     41,                0.99123,                0.64329,                  1.231,                0.79579,                0.75331,                0.82167,                0.53476,                 1.2548,                0.77058,                 1.4484,             0.00028475,             0.00028475,             0.00028475
                     42,                0.96749,                0.60774,                 1.2141,                0.85908,                 0.7428,                0.83703,                0.55218,                 1.2052,                0.71116,                 1.4291,                0.00026,                0.00026,                0.00026
                     43,                0.95564,                0.59627,                 1.2133,                0.83754,                0.74505,                 0.8309,                0.54721,                 1.2202,                0.74294,                 1.4438,             0.00023525,             0.00023525,             0.00023525
                     44,                0.93501,                0.57291,                 1.1983,                0.81186,                0.77258,                0.81594,                0.54576,                 1.2239,                0.74892,                 1.4467,              0.0002105,              0.0002105,              0.0002105
                     45,                0.93092,                0.57111,                 1.1922,                0.80499,                0.78545,                0.81378,                 0.5431,                  1.243,                 0.7395,                 1.4723,             0.00018575,             0.00018575,             0.00018575
                     46,                0.91129,                0.55583,                 1.1762,                0.84236,                0.76457,                0.83141,                0.55148,                 1.2259,                0.72725,                 1.4545,               0.000161,               0.000161,               0.000161
                     47,                0.90095,                0.53975,                 1.1667,                0.84301,                0.75675,                0.82941,                 0.5577,                 1.2101,                 0.7311,                 1.4557,             0.00013625,             0.00013625,             0.00013625
                     48,                0.88209,                0.53815,                 1.1666,                0.82552,                0.76708,                0.83295,                0.55911,                 1.2003,                0.71667,                 1.4423,              0.0001115,              0.0001115,              0.0001115
                     49,                0.87524,                0.52611,                 1.1561,                0.85351,                0.75425,                0.84029,                0.56187,                 1.1962,                0.70602,                 1.4338,              8.675e-05,              8.675e-05,              8.675e-05
                     50,                0.85433,                0.51752,                 1.1428,                0.81971,                 0.7843,                0.83467,                0.56396,                 1.1926,                0.70809,                 1.4335,                6.2e-05,                6.2e-05,                6.2e-05
